snapshot_id,event_id,district,lat,lon,label,lead_hours,month,day_of_year,humidity_spike_3h,humidity_spike_6h,humidity_max,pressure_drop_3h,pressure_drop_6h,precip_rate_max_mm_hr,precip_total_mm,precip_acceleration,cloud_cover_max_pct,wind_gust_max_ms,humidity_pressure_interaction,elevation_m
E01_L0,E01,Shimla,31.1048,77.1734,1,0,8,226,-0.3100000000000023,-0.3100000000000023,100.0,-0.0100000000000051,-0.2600000000000051,2.2,-2471153.29,-98314.04,100.0,5.85,0.0806000000000021,2195.0
E01_L3,E01,Shimla,31.1048,77.1734,1,3,8,225,-0.0499999999999971,0.7800000000000011,100.0,-0.25,-0.2399999999999948,2.2,-2175530.57,98921.65,100.0,5.85,-0.1871999999999962,2195.0
E01_L6,E01,Shimla,31.1048,77.1734,1,6,8,225,6.219999999999999,11.049999999999995,100.0,0.0100000000000051,0.0999999999999943,2.2,-1879116.86,-98872.38,100.0,5.85,1.104999999999937,2195.0
E01_L9,E01,Shimla,31.1048,77.1734,1,9,8,225,2.5900000000000034,4.75,100.0,0.0899999999999892,0.1099999999999994,2.2,-1582545.54,98761.13000000002,100.0,5.85,0.5224999999999973,2195.0
E02_L0,E02,Solan,30.9045,77.0967,1,0,8,226,-1.3100000000000025,-0.3100000000000023,99.0,-0.0100000000000051,-0.2600000000000051,4.0,-2471156.1900000004,-98311.14,100.0,5.85,0.0806000000000021,1460.0
E02_L3,E02,Solan,30.9045,77.0967,1,3,8,225,-0.0499999999999971,0.7800000000000011,99.0,-0.25,-0.2399999999999948,2.5,-2175538.37,98920.75,100.0,5.85,-0.1871999999999962,1460.0
E02_L6,E02,Solan,30.9045,77.0967,1,6,8,225,7.219999999999999,11.049999999999995,99.0,0.0100000000000051,0.0999999999999943,2.5,-1879124.56,-98872.58,100.0,5.85,1.104999999999937,1460.0
E02_L9,E02,Solan,30.9045,77.0967,1,9,8,225,2.5900000000000034,4.75,99.0,0.0899999999999892,0.1099999999999994,2.5,-1582552.84,98761.73000000004,100.0,5.85,0.5224999999999973,1460.0
E03_L0,E03,Mandi,31.708,76.9318,1,0,8,225,2.430000000000007,0.0600000000000022,99.28,0.1099999999999994,0.0400000000000062,0.7,-2471701.42,-98970.56,100.0,6.49,0.0024000000000004,764.0
E03_L3,E03,Mandi,31.708,76.9318,1,3,8,224,0.2700000000000102,1.2000000000000028,99.28,-0.0699999999999931,-0.0300000000000011,0.7,-2175202.96,98885.38,100.0,6.49,-0.0360000000000014,764.0
E03_L6,E03,Mandi,31.708,76.9318,1,6,8,224,23.17,9.269999999999996,99.28,0.039999999999992,0.2299999999999897,0.7,-1878843.48,-98867.03,100.0,6.49,2.1320999999999044,764.0
E03_L9,E03,Mandi,31.708,76.9318,1,9,8,224,2.3599999999999994,4.160000000000011,99.28,0.1899999999999977,0.3100000000000023,0.7,-1582265.87,98772.16,100.0,6.49,1.2896000000000127,764.0
E04_L0,E04,Kinnaur,31.4167,78.2667,1,0,6,163,-5.409999999999997,-4.849999999999994,100.0,0.0999999999999943,0.039999999999992,1.3,-2474978.05,-98999.94,100.0,4.75,-0.1939999999999611,2612.0
E04_L3,E04,Kinnaur,31.4167,78.2667,1,3,6,162,-0.2300000000000039,8.86,100.0,-0.0600000000000022,-0.0999999999999943,1.3,-2177978.41,98999.65999999996,100.0,4.75,-0.8859999999999496,2612.0
E04_L6,E04,Kinnaur,31.4167,78.2667,1,6,6,162,17.58,19.18,100.0,-0.039999999999992,0.0600000000000022,1.3,-1880979.11,-99001.24,100.0,4.75,1.1508000000000431,2612.0
E04_L9,E04,Kinnaur,31.4167,78.2667,1,9,6,162,4.550000000000011,6.240000000000009,100.0,0.0999999999999943,0.1899999999999977,1.3,-1583982.11,98997.60000000002,100.0,4.75,1.1855999999999876,2612.0
E05_L0,E05,Kullu,31.5333,77.6167,1,0,7,213,-3.989999999999995,-5.989999999999995,100.0,0.0500000000000113,-0.0799999999999983,4.4,-2474324.3800000004,-99009.47,100.0,3.95,0.4791999999999893,3332.0
E05_L3,E05,Kullu,31.5333,77.6167,1,3,7,212,0.0,1.6400000000000006,100.0,-0.1300000000000096,-0.2000000000000028,4.4,-2177396.63,98905.0,100.0,3.95,-0.3280000000000048,3332.0
E05_L6,E05,Kullu,31.5333,77.6167,1,6,7,212,11.36,17.769999999999996,100.0,-0.0699999999999931,0.0700000000000073,4.4,-1880624.79,-98932.41,100.0,3.95,1.243900000000131,3332.0
E05_L9,E05,Kullu,31.5333,77.6167,1,9,7,212,5.3700000000000045,4.8700000000000045,100.0,0.1400000000000005,0.2399999999999948,4.4,-1583794.3199999998,98993.27000000002,100.0,3.95,1.168799999999976,3332.0
E06_L0,E06,Mandi,31.79,76.96,1,0,7,213,4.390000000000001,-1.2800000000000011,100.0,0.019999999999996,-0.0999999999999943,2.1,-2472831.49,-99005.47999999998,100.0,4.19,0.1279999999999928,1472.0
E06_L3,E06,Mandi,31.79,76.96,1,3,7,212,-1.86,-2.3299999999999983,100.0,-0.1199999999999903,-0.1899999999999977,2.1,-2176279.37,98813.65,100.0,4.19,0.4426999999999944,1472.0
E06_L6,E06,Mandi,31.79,76.96,1,6,7,212,17.0,11.670000000000002,100.0,-0.0700000000000073,0.059999999999988,2.1,-1879966.46,-98729.44,100.0,4.19,0.7001999999998608,1472.0
E06_L9,E06,Mandi,31.79,76.96,1,9,7,212,1.5999999999999943,3.6899999999999977,100.0,0.1299999999999954,0.2900000000000062,2.1,-1583491.56,98882.43,100.0,4.19,1.0701000000000225,1472.0
